event_id,method,no_track_found,more_than_1_track,phi_cut,start_outside,end_outside,inter_outside,end_in_beam_zone,angle_diff_cut
3920,GMM,False,False,False,False,True,False,False,False
3921,GMM,False,False,False,False,True,False,False,False
3922,GMM,False,True,False,False,False,False,False,False
3923,GMM,False,False,False,False,True,False,False,False
3924,GMM,False,False,True,False,True,False,False,False
3925,GMM,False,False,True,False,True,False,False,False
3927,GMM,False,False,True,False,False,False,False,False
3930,GMM,False,False,False,False,True,False,False,False
3931,GMM,False,False,False,False,True,False,False,False
3932,GMM,False,False,False,True,True,True,False,False
3933,GMM,False,False,True,False,True,False,False,False
3937,GMM,False,True,False,False,False,False,False,False
3940,GMM,False,False,True,False,False,False,False,False
3941,GMM,False,False,True,False,False,False,False,False
3942,GMM,False,False,False,False,True,False,False,False
3948,GMM,False,False,True,False,True,False,False,False
3949,GMM,False,False,False,False,True,False,False,False
3950,GMM,False,False,True,False,True,False,False,False
3953,GMM,False,False,False,False,True,False,False,False
3954,GMM,False,True,False,False,False,False,False,False
3955,GMM,False,False,False,False,True,False,False,False
3956,GMM,False,False,True,False,False,False,False,False
3958,GMM,False,False,False,False,True,False,False,False
3959,GMM,False,True,False,False,False,False,False,False
3960,GMM,False,True,False,False,False,False,False,False
3961,GMM,False,False,True,False,False,False,False,True
3962,GMM,False,True,False,False,False,False,False,False
3964,GMM,False,False,False,False,True,False,False,False
3965,GMM,False,True,False,False,False,False,False,False
3967,GMM,False,False,True,False,True,False,False,False
3968,GMM,False,False,True,False,True,False,False,False
3969,GMM,False,False,False,False,True,False,False,False
3970,GMM,False,False,False,False,True,False,False,False
3972,GMM,False,False,False,True,False,True,False,False
3974,GMM,False,False,False,False,True,False,False,False
3976,GMM,False,False,True,False,False,False,False,False
3977,GMM,False,False,False,False,True,False,False,False
3978,GMM,False,False,False,False,True,False,False,False
3979,GMM,False,False,False,False,True,False,False,False
3981,GMM,False,False,False,False,True,False,False,False
3983,GMM,False,True,False,False,False,False,False,False
3984,GMM,False,False,False,True,True,True,False,False
3985,GMM,True,False,False,False,False,False,False,False
3986,GMM,False,False,False,False,True,False,False,False
3987,GMM,False,False,False,False,True,False,False,False
3990,GMM,False,False,False,True,False,False,False,False
3991,GMM,False,False,False,False,True,False,False,False
3999,GMM,False,False,False,True,True,True,False,False
4502,GMM,False,False,False,False,True,False,False,False
4505,GMM,False,False,True,False,True,False,False,False
4506,GMM,False,True,False,False,False,False,False,False
4508,GMM,False,False,True,False,False,False,False,False
4509,GMM,False,False,True,False,True,False,False,False
4512,GMM,False,False,False,True,True,True,False,False
4515,GMM,False,False,False,False,True,False,False,False
4516,GMM,False,False,True,False,False,False,False,False
4518,GMM,False,False,False,True,True,True,False,False
4520,GMM,True,False,False,False,False,False,False,False
4521,GMM,False,False,False,False,True,False,False,False
4522,GMM,False,False,False,False,True,False,False,False
4523,GMM,False,False,True,False,False,False,False,False
4524,GMM,False,True,False,False,False,False,False,False
4525,GMM,False,True,False,False,False,False,False,False
4527,GMM,False,False,False,False,True,False,False,False
4528,GMM,False,False,False,False,True,False,False,False
4529,GMM,False,False,True,False,False,False,False,False
4530,GMM,False,True,False,False,False,False,False,False
4531,GMM,False,True,False,False,False,False,False,False
4532,GMM,False,False,True,False,True,False,False,False
4533,GMM,False,False,False,False,True,False,False,False
4535,GMM,False,False,False,False,True,False,False,False
4536,GMM,False,False,True,False,True,False,False,False
4537,GMM,False,False,False,False,True,False,False,False
4538,GMM,False,False,False,False,True,False,False,False
4539,GMM,False,False,False,False,True,False,False,False
4540,GMM,False,False,False,False,True,False,False,False
4541,GMM,False,False,True,False,False,False,False,True
4542,GMM,False,False,True,True,True,True,False,False
4544,GMM,True,False,False,False,False,False,False,False
4545,GMM,False,False,True,False,True,False,False,False
4548,GMM,False,False,True,False,False,False,False,False
4550,GMM,False,False,False,False,True,False,False,False
4552,GMM,False,True,False,False,False,False,False,False
4553,GMM,False,False,False,False,True,False,False,False
4554,GMM,False,False,True,False,False,False,False,True
4555,GMM,False,False,False,False,True,False,False,False
4558,GMM,False,False,False,False,True,False,False,False
4559,GMM,False,False,False,False,True,False,False,True
4560,GMM,False,False,True,False,False,False,False,False
4562,GMM,False,False,False,False,True,False,False,False
4563,GMM,False,False,False,False,True,False,False,False
4564,GMM,False,True,False,False,False,False,False,False
4565,GMM,False,False,True,False,True,False,False,False
4566,GMM,True,False,False,False,False,False,False,False
4567,GMM,False,False,False,False,True,False,False,False
4568,GMM,False,False,False,False,True,False,False,False
4570,GMM,False,False,True,False,True,False,False,False
4571,GMM,False,False,False,False,True,False,False,False
4572,GMM,False,True,False,False,False,False,False,False
4573,GMM,False,False,True,False,True,False,False,False
4578,GMM,False,False,False,False,True,False,False,False
4583,GMM,False,False,True,False,True,False,False,False
4584,GMM,False,False,False,False,True,False,False,False
4589,GMM,False,False,False,False,True,False,False,False
4591,GMM,False,False,True,False,False,False,False,True
4594,GMM,False,False,False,False,True,False,False,False
4596,GMM,False,False,False,False,True,False,False,False
4597,GMM,False,False,False,False,True,False,False,False
4598,GMM,False,False,True,False,True,False,False,False
4599,GMM,False,True,False,False,False,False,False,False
4601,GMM,False,False,False,False,True,False,False,False
4602,GMM,False,False,False,False,True,False,False,False
4604,GMM,False,False,False,True,False,True,False,False
4605,GMM,False,True,False,False,False,False,False,False
4606,GMM,False,False,True,False,False,False,False,False
4607,GMM,False,False,False,False,True,False,False,False
4608,GMM,False,False,False,False,True,False,False,False
4612,GMM,False,False,False,False,True,False,False,False
4616,GMM,False,False,False,False,True,False,False,False
4617,GMM,False,False,True,False,True,False,False,True
4618,GMM,False,False,False,False,True,False,False,True
4619,GMM,False,False,False,False,True,False,False,False
4620,GMM,False,False,False,False,True,False,False,False
4621,GMM,False,False,False,False,True,False,False,False
4622,GMM,False,False,False,False,True,False,False,False
4625,GMM,True,False,False,False,False,False,False,False
4628,GMM,False,False,False,True,True,True,False,False
4630,GMM,False,True,False,False,False,False,False,False
4631,GMM,False,False,False,False,True,False,False,False
4632,GMM,True,False,False,False,False,False,False,False
4633,GMM,False,False,True,False,False,False,False,False
4634,GMM,False,True,False,False,False,False,False,False
4635,GMM,False,False,False,True,True,True,False,False
4636,GMM,False,False,True,False,True,False,False,False
4639,GMM,False,True,False,False,False,False,False,False
4641,GMM,True,False,False,False,False,False,False,False
4642,GMM,False,False,False,True,False,True,False,False
4643,GMM,False,False,True,False,True,False,False,False
4645,GMM,False,False,False,False,True,False,False,False
4647,GMM,False,False,False,False,True,False,False,False
4648,GMM,False,False,True,False,True,False,False,False
4649,GMM,False,False,False,False,True,False,False,False
4651,GMM,True,False,False,False,False,False,False,False
4652,GMM,False,False,True,False,False,False,False,False
4653,GMM,False,False,False,True,False,True,False,False
4654,GMM,False,False,True,False,True,False,False,False
4657,GMM,False,False,False,False,True,False,False,False
4658,GMM,False,False,False,False,True,False,False,False
4659,GMM,False,False,False,False,True,False,False,False
4661,GMM,False,False,False,True,False,True,False,False
4666,GMM,False,True,False,False,False,False,False,False
4668,GMM,False,False,False,False,True,False,False,False
4670,GMM,True,False,False,False,False,False,False,False
4671,GMM,False,False,False,False,True,False,False,False
4672,GMM,False,False,True,False,False,False,False,False
4673,GMM,False,False,False,True,True,True,False,False
4675,GMM,False,False,False,False,True,False,False,False
4677,GMM,False,False,True,False,False,False,False,True
4678,GMM,False,True,False,False,False,False,False,False
